  PID  PPID STAT  %CPU %MEM     ELAPSED COMM
  475     1 Ss     0.0  0.0 01-16:48:45 /System/Library/Frameworks/AudioToolbox.framework/XPCServices/com.apple.audio.SandboxHelper.xpc/Contents/MacOS/com.apple.audio.SandboxHelper
  477     1 Ss     0.0  0.0 01-16:48:45 /System/Library/PrivateFrameworks/BiomeStreams.framework/Support/biomed
  488     1 S      0.0  0.0 01-16:48:45 /usr/sbin/distnoted
  505     1 Ss     0.0  0.0 01-16:48:45 /System/Library/Frameworks/NetFS.framework/Versions/A/XPCServices/PlugInLibraryService.xpc/Contents/MacOS/PlugInLibraryService
  506     1 Ss     0.0  0.0 01-16:48:45 /usr/sbin/mDNSResponderHelper
  507     1 Ss     0.0  0.0 01-16:48:45 /usr/libexec/ApplicationFirewall/socketfilterfw
  513     1 Ss     0.0  0.0 01-16:48:45 /System/Library/Frameworks/Security.framework/Versions/A/XPCServices/com.apple.CodeSigningHelper.xpc/Contents/MacOS/com.apple.CodeSigningHelper
  514     1 Ss     0.0  0.1 01-16:48:45 /usr/libexec/syspolicyd
  523     1 Ss     0.0  0.0 01-16:48:44 /System/Library/Frameworks/CryptoTokenKit.framework/ctkd
  531     1 Ss     0.0  0.0 01-16:48:44 /System/Library/PrivateFrameworks/SystemStatusServer.framework/Support/systemstatusd
  532     1 Ss     0.0  0.0 01-16:48:44 Core Audio Driver (MSTeamsAudioDevice.driver)
  533     1 Ss     0.0  0.0 01-16:48:44 /System/Library/Frameworks/CoreAudio.framework/Versions/A/XPCServices/com.apple.audio.DriverHelper.xpc/Contents/MacOS/com.apple.audio.DriverHelper
  534     1 Ss     1.1  0.0 01-16:48:44 /usr/libexec/symptomsd
  538     1 Ss     0.0  0.0 01-16:48:44 /usr/libexec/audiomxd
  539     1 Ss     0.0  0.0 01-16:48:44 /usr/libexec/eligibilityd
  540     1 Ss     0.0  0.0 01-16:48:44 /usr/libexec/hidd
  542     1 Ss     0.0  0.0 01-16:48:44 /usr/libexec/audioclocksyncd
  543     1 Ss     0.0  0.0 01-16:48:44 /System/Library/Frameworks/LocalAuthentication.framework/Support/coreauthd
  547     1 Ss     0.0  0.0 01-16:48:44 /System/Library/CoreServices/TimeMachine/backupd
  548     1 S      0.0  0.0 01-16:48:44 /usr/sbin/distnoted
  549     1 Ss     0.0  0.0 01-16:48:44 /System/Library/PrivateFrameworks/MobileAssetDaemon.framework/Versions/A/XPCServices/com.apple.MobileAsset.DownloadService.Builtin.xpc/Contents/MacOS/com.apple.MobileAsset.DownloadService.Builtin
  550     1 Ss     0.0  0.0 01-16:48:44 /usr/libexec/com.apple.cmio.videodriverkithostextension.systemextension/Contents/MacOS/com.apple.cmio.videodriverkithostextension
  551     1 Ss     0.0  0.0 01-16:48:44 /System/Library/PrivateFrameworks/AppleDeviceQuerySupport.framework/Versions/A/XPCServices/AppleDeviceQueryService.xpc/Contents/MacOS/AppleDeviceQueryService
  553     1 Ss     0.0  0.0 01-16:48:44 /usr/sbin/WirelessRadioManagerd
  554     1 Ss     0.0  0.0 01-16:48:44 /System/Library/CoreServices/osanalyticshelper
  555     1 Ss     0.0  0.0 01-16:48:44 /usr/libexec/findmybeaconingd
  557     1 Ss     0.0  0.0 01-16:48:44 /usr/libexec/triald_system
  558     1 Ss     0.0  0.0 01-16:48:44 /System/Library/PrivateFrameworks/PowerLog.framework/Versions/A/XPCServices/PerfPowerTelemetryClientRegistrationService.xpc/Contents/MacOS/PerfPowerTelemetryClientRegistrationService
  560     1 Ss     0.1  1.1 01-16:48:44 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/Metadata.framework/Versions/A/Support/mds_stores
  562     1 S      0.0  0.0 01-16:48:44 /usr/sbin/distnoted
  563     1 Ss     0.0  0.0 01-16:48:44 /usr/libexec/ospredictiond
  566     1 S      0.0  0.0 01-16:48:43 /usr/sbin/distnoted
  567     1 Ss     0.0  0.0 01-16:48:43 /usr/libexec/colorsync.displayservices
  568     1 Ss     0.0  0.0 01-16:48:43 /System/Library/Frameworks/ColorSync.framework/Versions/A/XPCServices/com.apple.ColorSyncXPCAgent.xpc/Contents/MacOS/com.apple.ColorSyncXPCAgent
  569     1 Ss     0.0  0.0 01-16:48:43 /usr/libexec/colorsyncd
  570     1 Ss     0.0  0.0 01-16:48:43 /System/Library/PrivateFrameworks/MobileAccessoryUpdater.framework/XPCServices/UARPUpdaterServiceDisplay.xpc/Contents/MacOS/UARPUpdaterServiceDisplay
  571     1 Ss     0.0  0.0 01-16:48:43 /System/Library/PrivateFrameworks/MobileAccessoryUpdater.framework/XPCServices/UARPUpdaterServiceLegacyAudio.xpc/Contents/MacOS/UARPUpdaterServiceLegacyAudio
  572     1 Ss     0.0  0.0 01-16:48:43 /System/Library/PrivateFrameworks/MobileAccessoryUpdater.framework/XPCServices/UARPUpdaterServiceUSBPD.xpc/Contents/MacOS/UARPUpdaterServiceUSBPD
  573     1 Ss     0.0  0.0 01-16:48:43 /System/Library/PrivateFrameworks/MobileAccessoryUpdater.framework/XPCServices/UARPUpdaterServiceHID.xpc/Contents/MacOS/UARPUpdaterServiceHID
  574     1 Ss     0.0  0.0 01-16:48:43 /System/Library/PrivateFrameworks/MobileAccessoryUpdater.framework/XPCServices/UARPUpdaterServiceAFU.xpc/Contents/MacOS/UARPUpdaterServiceAFU
  575     1 S      0.0  0.0 01-16:48:43 /usr/sbin/distnoted
